id,x,z,v,alpha,t_period,l1_r,l2_r,l3_r,l4_r,l5_r,l6_r,l1_im,l2_im,l3_im,l4_im,l5_im,l6_im,ax,ay,az,dist_primary,dist_secondary,dist_curve,cj,stable,stability_order
46,379877.41106598085,1984.3843807300107,-2.211298278424372,-1.6772055579236285,8.238488167424059,-5.53563818015199,2.2174772501409583,-0.180647643696986,0.4509629225397893,0.9999999849970792,1,0.0,0.0,0.0,0.0,0.0,0,21253.626389253186,32735.834049656536,95041.63715098934,375026.13244877197,1990.1176506385964,0.001937699023269126,2.9846433825804324,False,0
47,379879.0041939933,1999.2995388966538,-2.202885920150781,-1.6774425712194716,8.230160275379205,-5.531852108598512,2.2118568868896875,-0.1807712812314838,0.4521088270113212,0.999999984067934,1,0.0,0.0,0.0,0.0,0.0,0,21271.570748351514,32809.44979984213,94910.86703956412,374974.16797966225,2005.1107333478635,0.0019767208755063787,2.9849389525369405,False,0
48,379880.6008570521,2014.2143190518327,-2.194567191620313,-1.6776773480035376,8.221997931552929,-5.527883687928366,2.206261254881168,-0.1809010555137466,0.4532554875087553,0.9999999853905758,1,0.0,0.0,0.0,0.0,0.0,0,21289.94117351499,32882.39626563292,94782.54364111871,374922.44972240546,2020.1038115877336,0.002015742727743684,2.9852289232592213,False,0
49,379882.2010217105,2029.1287239365497,-2.186340362199779,-1.677909887255108,8.213997086704092,-5.523746389665137,2.200691938264764,-0.1810365512593299,0.4544025426685928,0.9999999912341324,1,0.0,0.0,0.0,0.0,0.0,0,21308.72176578449,32957.44337249983,94656.60049779373,374870.9739822186,2035.0968856396366,0.0020547645799808903,2.9855134461889614,False,0
50,379883.8046545105,2044.0427563169094,-2.178203745827117,-1.678140214074684,8.206153829221284,-5.519452907819514,2.1951502172820425,-0.1811773802541178,0.4555496609030807,1.0000000446089992,1,0.0,0.0,0.0,0.0,0.0,0,21327.897307826846,33031.49536984846,94532.97363949571,374819.7371596889,2050.089955794525,0.0020937864322181105,2.9857926671019204,False,0
51,379885.4117223696,2058.9564189420635,-2.1701556995174824,-1.6783683164106926,8.198464374819368,-5.515014904466069,2.189637530619718,-0.1813231716016112,0.4566966027128764,0.9999999847060588,1,0.0,0.0,0.0,0.0,0.0,0,21347.4532148781,33104.768266307474,94411.60140985568,374768.7357472116,2065.083022340685,0.00213280828445542,2.986066726507912,False,0
52,379887.02219202806,2073.869714603294,-2.1621946219963237,-1.678594215879062,8.190925068066155,-5.510443626993057,2.184154626032146,-0.181473591185392,0.4578430524711662,0.9999999848984096,1,0.0,0.0,0.0,0.0,0.0,0,21367.37552738533,33180.13319155989,94292.42444814902,374717.9663231655,2080.0760855803396,0.002171830136692681,2.986335759687843,False,0
53,379888.6360305509,2088.7826460797746,-2.1543189523060007,-1.678817916387404,8.183532370543723,-5.505749346362032,2.1787025135810536,-0.1816283171723881,0.4589887946606415,0.9999999707980494,1,0.0,0.0,0.0,0.0,0.0,0,21387.650855169166,33254.3552569926,94175.38550035059,374667.42555248714,2095.0691458142105,0.0022108519889299247,2.986599897131055,False,0
54,379890.2532050637,2103.6952161666313,-2.146527168529033,-1.6790399342172249,8.176282859600725,-5.500941823468535,2.1732818674583028,-0.1817870514630385,0.4601336049340934,0.9999999854115864,1,0.0,0.0,0.0,0.0,0.0,0,21408.266363302537,33328.20578138097,94060.42936942198,374617.11018090165,2110.0622033493246,0.002249873841167208,2.9868592646454672,False,0
55,379851.41047195497,1735.7403105024628,-2.3671066891970884,-1.672920442886664,8.406114431464228,-5.553899287592572,2.3120302439991613,-0.1800536776684355,0.4325203032442952,0.9999999855865264,1,0.0,0.0,0.0,0.0,0.0,0,21035.727037894598,31539.027079707503,97656.06810707544,375932.34291188145,1740.2320533089494,0.003212411353180836,2.9787225884828894,False,0
56,379852.9396723678,1750.6621584475768,-2.3568302911584835,-1.6731954894073269,8.39427322364167,-5.556366749262743,2.3065279651110115,-0.179973719715106,0.4335520914113154,0.99999998491073,1,0.0,0.0,0.0,0.0,0.0,0,21043.39974078798,31607.543170852623,97471.79065585142,375875.62497088674,1755.2252450140006,0.0032514332054180716,2.979140494033933,False,0
57,379854.4729769252,1765.5835852269836,-2.346684601707268,-1.673468247191834,8.382692221793691,-5.558204917901444,2.3009674496270387,-0.1799141998805566,0.4345998146399691,0.9999999822545376,1,0.0,0.0,0.0,0.0,0.0,0,21051.90842579247,31677.824096106477,97291.57796339401,375819.23286530137,1770.2184288011435,0.003290455057655236,2.9795491108282057,False,0
58,379856.010351361,1780.5045932306134,-2.3366668613174078,-1.67373871575604,8.371363862887398,-5.559459196669443,2.29535883554704,-0.1798736093842818,0.4356617396832373,0.9999999845070772,1,0.0,0.0,0.0,0.0,0.0,0,21061.2178744743,31748.38717547557,97115.29650117701,375763.1606098258,1785.211604781118,0.003329476909892501,2.9799487436720264,False,0
59,379857.551761404,1795.4251848770718,-2.3267743916114667,-1.6740955988198587,8.360280885244462,-5.5601712468570685,2.289711448109,-0.1798505744645887,0.4367362629875009,0.999999985979752,1,0.0,0.0,0.0,0.0,0.0,0,21071.294649162563,31818.856335169123,96942.8187219839,375707.40240719856,1800.2047730794377,0.003368498762129848,2.980339683645867,False,0
60,379860.12965282256,1820.291919198928,-2.3105582929540485,-1.6745361752931602,8.342335728767107,-5.56025649215891,2.280235267387974,-0.1798478188177459,0.4385512354598952,1.0000000041992991,1,0.0,0.0,0.0,0.0,0.0,0,21089.70888872922,31937.024410255846,96663.47976082326,375615.1547868791,1825.1933703647367,0.003433535182525248,2.980972682553481,False,0
61,379862.7184996888,1845.1575153490946,-2.2946713964254504,-1.6749703711323862,8.32502229031649,-5.55910306815754,2.2707078227681787,-0.1798851326075708,0.4403913231413912,0.9999999848097468,1,0.0,0.0,0.0,0.0,0.0,0,21110.02946195641,32055.38010841822,96393.83823703673,375523.7390477959,1850.181947455337,0.0034985716029206663,2.9815835155102235,False,0
62,379865.318142849,1870.0219850888275,-2.279102667235128,-1.6753981955939996,8.308311869103859,-5.556854278737115,2.261156531310051,-0.1799579298597094,0.4422515687433321,0.9999999842798268,1,0.0,0.0,0.0,0.0,0.0,0,21132.1297855578,32175.651683897406,96133.3997030732,375433.1314677838,1875.17050519892,0.0035636080233160208,2.982173310047404,False,0
63,379867.9284233995,1894.885340362165,-2.2638415830671574,-1.675819662686059,8.292177543649375,-5.553636487048802,2.25160452779104,-0.1800621979635296,0.4441277369832942,0.9999999839077974,1,0.0,0.0,0.0,0.0,0.0,0,21155.893179487786,32296.789194329474,95881.70389641092,375343.309474267,1900.1590445319634,0.0036286444437114663,2.9827431154994333,False,0
64,379870.5491828036,1919.7475932798984,-2.24887810378804,-1.6762347908314268,8.276594033542983,-5.549561599951116,2.242071077280906,-0.1801944126957142,0.4460161999308282,0.9999999849369048,1,0.0,0.0,0.0,0.0,0.0,0,21181.2119380011,32418.09775989352,95638.32178610814,375254.25156514434,1925.1475664713432,0.0036936808641068624,2.9832939098185216,False,0
65,379873.1802630028,1944.6087561043873,-2.234202643320308,-1.6766436047228237,8.26153757358058,-5.544728995477842,2.23257213393012,-0.1803514642763041,0.44791386871088,0.9999999849395588,1,0.0,0.0,0.0,0.0,0.0,0,21207.986499866587,32539.615722661067,95402.85291817722,375165.9372380553,1950.136072106831,0.0037587172845022984,2.98382660569209,False,0
66,379875.8215065705,1969.4688412292653,-2.219806043501813,-1.6770461333848778,8.246985799108002,-5.539227354445367,2.223120633109505,-0.1805305936031395,0.4498181418831659,1.000000005295072,1,0.0,0.0,0.0,0.0,0.0,0,21236.12470868329,32661.374385458603,95174.92302470654,375078.34692400554,1975.1245625921906,0.0038237537048977257,2.9843420560444622,False,0
67,379878.4727568207,1994.3278611639064,-2.2056795497661277,-1.6774424054237809,8.232917641533597,-5.533135079470403,2.213727681110786,-0.1807293657638923,0.4517267549234056,0.999999984759279,1,0.0,0.0,0.0,0.0,0.0,0,21265.5411489876,32784.13431765205,94954.18187021234,374991.461929032,2000.1130391381448,0.00388879012529315,2.984841058987956,False,0
68,379881.133857797,2019.1858285304318,-2.1918147885098853,-1.6778324591850746,8.21931323521111,-5.526522698220842,2.204401838543108,-0.1809456044777683,0.4536378148981588,0.9999999764749664,1,0.0,0.0,0.0,0.0,0.0,0,21296.156561646785,32907.746779080844,94740.30133488316,374905.2643773307,2025.1015030091048,0.003953826545688641,2.985324362221469,False,0
69,379883.80465451436,2044.0427560335297,-2.1782037459756847,-1.678216328446128,8.206153828848192,-5.519452814194912,2.195150335288335,-0.1811773789917667,0.4555496740507094,0.9999999859267524,1,0.0,0.0,0.0,0.0,0.0,0,21327.897305264836,33031.495362599526,94532.97363519702,374819.7371611846,2050.0899555122764,0.004018862966084048,2.985792667112367,False,0
70,379886.4849928449,2068.898656468493,-2.164838748573489,-1.6785940526882277,8.193421708188596,-5.511981548242718,2.185978883620274,-0.1814229574688049,0.4574609702871561,0.9999999848633622,1,0.0,0.0,0.0,0.0,0.0,0,21360.694882825017,33155.38831348114,94331.90976232273,374734.8638962225,2075.07839799813,0.0040838993864794225,2.986246632274068,False,0
71,379889.17471966037,2093.7535427015737,-2.15171244449428,-1.6789659756808544,8.181100123233296,-5.5041589798293264,2.176892076625415,-0.1816807977260363,0.4593705086125416,0.9999999852828751,1,0.0,0.0,0.0,0.0,0.0,0,21394.485512268788,33279.428528839046,94136.83803664967,374650.62887614244,2100.0668318529433,0.004148935806874907,2.9866868768737067,False,0
72,379891.8736903932,2118.60742684437,-2.138817785844572,-1.6795112135852028,8.16917311232189,-5.49601103061227,2.167917950925064,-0.1819492574162766,0.4612801671808516,0.9999873196371664,1,0.0,0.0,0.0,0.0,0.0,0,21429.209272159555,33403.613221039435,93947.50142443215,374567.01715508266,2125.055258265734,0.004213972227270319,2.987113986886232,False,0
73,379897.2987336144,2168.31224457912,-2.113696645718606,-1.680218538870662,8.14644393829229,-5.478967370947596,2.1502265203161293,-0.1825141423573247,0.4650861645536177,0.9999703654217376,1,0.0,0.0,0.0,0.0,0.0,0,21501.23964013433,33652.38595061572,93585.08910064535,374401.6058789168,2175.032096212795,0.004344045068061087,2.987930955652895,False,0
74,379902.7589151445,2218.0132145662005,-2.089424458477934,-1.6809023234218825,8.125123311717624,-5.461153751948048,2.132880781968498,-0.1831094520385393,0.468869297621687,0.9999688163423964,1,0.0,0.0,0.0,0.0,0.0,0,21576.385067160823,33901.5993803945,93242.90755920477,374238.5208017036,2225.0089231991947,0.004474117908851883,2.9887015632229,False,0
75,379908.2530801505,2267.7104393467716,-2.0659542964191275,-1.681562295130756,8.105110841700796,-5.442741669966614,2.1159521034001165,-0.1837275712209526,0.4726342311746553,0.99994690068432,1,0.0,0.0,0.0,0.0,0.0,0,21654.292595616367,34151.080509242995,92919.37613640436,374077.6613338905,2274.985750700781,0.004604190749642831,2.9894294153238032,False,0
